City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,0,AU,1570061775,34,-42.78,147.06,75.0,9.17
Ushuaia,40,AR,1570061777,65,-54.81,-68.31,41.0,29.97
Hermanus,28,ZA,1570061779,83,-34.42,19.24,57.99,8.86
Kralendijk,15,BQ,1570061781,74,12.15,-68.27,84.2,17.22
Tura,100,RU,1570061783,98,64.27,100.22,33.0,6.64
Mataura,97,NZ,1570061786,81,-46.19,168.86,48.99,8.99
Kodiak,90,US,1570061773,94,39.95,-94.76,69.8,10.29
Bandarbeyla,33,SO,1570061790,82,9.49,50.81,75.52,3.69
Abu Dhabi,46,AE,1570061769,74,24.47,54.37,84.2,2.24
Jamestown,6,AU,1570061723,41,-33.21,138.6,67.42,5.32
Chokurdakh,97,RU,1570061900,90,70.62,147.9,26.23,13.13
Mareeba,40,AU,1570062050,65,-16.99,145.42,78.8,20.8
Igunga,22,TZ,1570062052,55,-4.28,33.88,71.32,9.37
Port Alfred,100,ZA,1570062054,93,-33.59,26.89,59.0,1.99
Punta Arenas,0,CL,1570062056,75,-53.16,-70.91,42.8,18.34
Nome,1,US,1570062059,74,30.04,-94.42,86.0,3.36
Hobart,0,AU,1570061998,26,-42.88,147.33,75.0,10.29
La Ronge,20,CA,1570062063,56,55.1,-105.3,44.6,10.29
Jalu,0,LY,1570062067,29,29.03,21.55,75.98,10.18
Baykit,100,RU,1570062069,99,61.68,96.39,35.09,4.72
Provideniya,75,RU,1570061995,93,64.42,-173.23,39.2,17.9
Atuona,61,PF,1570062078,73,-9.8,-139.03,78.88,5.64
Vaini,40,IN,1570062080,100,15.34,74.49,69.8,1.39
Sovetskaya Gavan,100,RU,1570062083,91,48.97,140.29,40.7,8.37
Guerrero Negro,0,MX,1570062085,54,27.97,-114.04,71.59,16.03
Carnarvon,4,ZA,1570061922,32,-30.97,22.13,51.79,2.82
Amalapuram,100,IN,1570061937,90,16.58,82.0,76.2,4.34
Lubango,0,AO,1570062091,83,-14.92,13.49,58.38,2.39
Kruisfontein,100,ZA,1570062093,62,-34.0,24.73,61.21,15.48
Bredasdorp,46,ZA,1570062095,87,-34.53,20.04,48.2,2.24
Sao Jose da Coroa Grande,1,BR,1570062098,91,-8.9,-35.15,70.98,3.96
Hilo,90,US,1570062100,74,19.71,-155.08,80.6,8.05
Riyadh,0,SA,1570062102,30,24.63,46.72,82.4,2.95
Saskylakh,0,RU,1570062104,83,71.97,114.09,14.71,1.15
Julio de Castilhos,75,BR,1570062106,100,-29.23,-53.68,64.4,6.93
Leshukonskoye,100,RU,1570062108,86,64.9,45.76,35.14,11.45
East London,80,ZA,1570061860,28,-33.02,27.91,68.91,8.28
Bedesa,92,ET,1570062113,84,8.9,40.78,62.54,3.15
Bedi,37,NG,1570062115,54,13.39,4.96,82.9,8.57
Sur,23,OM,1570062060,62,22.57,59.53,83.53,8.41
Taltal,0,CL,1570062123,84,-25.41,-70.49,51.86,3.13
Rikitea,100,PF,1570062128,85,-23.12,-134.97,63.53,14.0
Oksbol,62,DK,1570062134,93,55.63,8.29,44.6,8.05
Kirensk,91,RU,1570062136,78,57.78,108.12,30.73,9.75
Kapaa,40,US,1570061884,74,22.08,-159.32,87.8,17.22
Okhotsk,12,RU,1570061955,39,59.36,143.24,33.63,20.67
Severomuysk,71,RU,1570062143,89,56.17,113.57,13.94,4.03
Svetlogorsk,40,RU,1570062145,56,53.14,59.15,41.0,11.18
Avarua,37,CK,1570061908,57,-21.21,-159.78,78.8,9.17
Cape Town,20,ZA,1570061908,87,-33.93,18.42,61.0,2.24
Pingyin,31,CN,1570062153,45,36.28,116.45,73.14,4.97
Lebu,40,ET,1570062155,82,8.96,38.73,57.2,4.7
Albany,90,US,1570061969,71,42.65,-73.75,57.2,13.87
Launceston,0,AU,1570062160,40,-41.43,147.14,70.0,4.7
Bambous Virieux,75,MU,1570062162,94,-20.34,57.76,73.4,8.05
Narsaq,75,GL,1570062164,34,60.91,-46.05,51.8,32.21
Yar-Sale,67,RU,1570062166,84,66.83,70.83,40.2,13.62
Busselton,81,AU,1570061894,97,-33.64,115.35,57.0,1.01
Nanortalik,100,GL,1570062170,73,60.14,-45.24,42.45,4.16
Zaysan,0,KZ,1570062173,29,47.47,84.87,28.45,1.23
Tiksi,100,RU,1570062175,88,71.64,128.87,24.54,26.69
Hambantota,20,LK,1570062177,81,6.12,81.12,79.66,6.85
Salalah,75,OM,1570062179,83,17.01,54.1,78.8,4.7
Sinnamary,28,GF,1570062181,76,5.38,-52.96,82.28,22.26
Aleksandrov Gay,0,RU,1570062183,90,50.14,48.57,51.95,1.01
Hasaki,75,JP,1570062186,78,35.73,140.83,79.0,4.7
Kununurra,0,AU,1570062188,25,-15.77,128.74,89.6,4.7
Arraial do Cabo,0,BR,1570061990,78,-22.97,-42.02,71.6,19.46
Sterling,1,US,1570061977,57,39.0,-77.4,86.0,3.36
Mahebourg,75,MU,1570062194,94,-20.41,57.7,73.4,8.05
Qaanaaq,30,GL,1570062196,73,77.48,-69.36,22.38,3.87
Shelburne,90,CA,1570062198,76,44.08,-80.2,55.4,9.17
Key Largo,75,US,1570062203,83,25.09,-80.45,82.0,10.29
Berlevag,100,NO,1570062205,73,70.86,29.09,38.15,17.58
Itaocara,0,BR,1570062207,73,-21.67,-42.08,66.35,3.2
Airai,2,TL,1570062209,37,-8.93,125.41,83.54,2.82
Inirida,71,CO,1570062214,94,3.87,-67.92,75.77,0.81
Esperance,25,AU,1570062216,77,-33.86,121.89,64.4,12.75
Coihaique,20,CL,1570062172,65,-45.58,-72.07,41.0,1.95
Ribeira Grande,4,PT,1570062220,68,38.52,-28.7,69.68,10.74
Mount Isa,0,AU,1570062222,27,-20.73,139.49,86.0,11.41
Padang,79,ID,1570062224,85,-0.92,100.36,78.04,14.05
Sao Felix do Xingu,59,BR,1570062227,97,-6.64,-51.99,70.49,3.09
Kavieng,100,PG,1570062231,72,-2.57,150.8,82.45,1.1
Marsh Harbour,4,BS,1570062233,82,26.54,-77.06,79.87,16.89
San Juan del Sur,40,NI,1570062235,78,11.25,-85.87,82.4,5.88
Georgetown,0,GY,1570062237,88,6.8,-58.16,82.4,4.7
Avera,1,US,1570062240,58,33.19,-82.53,88.0,4.7
Puri,24,ID,1570062244,69,-7.54,112.45,79.91,10.8
Port Blair,39,IN,1570062246,68,11.67,92.75,81.87,3.31
Fortuna,40,US,1570062248,48,40.6,-124.16,62.6,12.75
Yellowknife,75,CA,1570062250,53,62.45,-114.38,51.8,11.41
Portland,90,US,1570062100,66,43.66,-70.25,55.0,9.17
Cherskiy,13,RU,1570062255,66,68.75,161.3,24.14,16.53
Dawlatabad,0,AF,1570062257,28,36.41,64.91,53.23,5.82
Castro,0,CL,1570062259,94,-42.48,-73.76,39.2,5.82
Luderitz,0,NA,1570062261,92,-26.65,15.16,55.37,20.36
Mar del Plata,58,AR,1570062263,29,-46.43,-67.52,49.76,5.57
Goderich,97,CA,1570062240,88,43.74,-81.71,55.0,5.01
Pangnirtung,43,CA,1570062270,69,66.15,-65.72,24.25,3.67
Bilibino,100,RU,1570062272,90,68.06,166.44,13.38,5.66
Egvekinot,99,RU,1570062274,94,66.32,-179.17,29.74,2.98
Dudinka,75,RU,1570062278,97,69.41,86.18,33.8,6.71
Husavik,70,CA,1570062283,79,50.56,-96.99,43.0,5.28
Tasiilaq,100,GL,1570062285,64,65.61,-37.64,39.2,33.33
Amparafaravola,70,MG,1570062287,86,-17.68,48.22,62.32,7.83
Beyneu,79,KZ,1570062289,46,45.32,55.19,57.95,12.64
Puerto Ayora,75,EC,1570062291,73,-0.74,-90.35,71.6,18.34
Staryy Nadym,88,RU,1570062294,93,65.61,72.68,44.14,11.59
Baltiysk,75,RU,1570062296,93,54.66,19.91,57.99,4.47
Flinders,0,AU,1570062300,32,-34.58,150.85,80.6,8.05
Dunedin,100,NZ,1570062302,61,-45.87,170.5,51.01,14.0
Ustye,100,RU,1570062304,77,58.76,27.79,44.47,8.99
Fukue,20,JP,1570062306,65,35.03,136.69,80.6,17.22
Torbay,90,CA,1570062123,86,47.66,-52.73,43.0,13.87
Ust-Omchug,69,RU,1570062311,91,61.13,149.63,17.07,4.85
Saint-Philippe,1,CA,1570062313,81,45.36,-73.48,50.0,4.7
Thompson,5,CA,1570062315,48,55.74,-97.86,42.8,2.24
Williams Lake,90,CA,1570062317,61,52.13,-122.14,48.2,6.93
Yaremche,0,UA,1570062319,100,48.45,24.55,48.2,5.12
Barrow,0,AR,1570062324,73,-38.31,-60.23,39.25,8.1
Fort Nelson,75,CA,1570062276,58,58.81,-122.69,59.0,3.36
Pevek,100,RU,1570062328,74,69.7,170.27,29.54,9.57
Chuy,100,UY,1570062330,86,-33.69,-53.46,55.32,16.13
San Andres,100,PH,1570062334,77,13.32,122.68,81.91,1.45
Quatre Cocos,75,MU,1570062337,94,-20.21,57.76,73.4,8.05
Cabo San Lucas,40,MX,1570062227,61,22.89,-109.91,84.0,7.02
Vila Velha,0,BR,1570062341,74,-3.71,-38.6,78.8,10.29
Saint-Joseph,0,FR,1570062343,82,43.56,6.97,66.99,3.36
Bathsheba,20,BB,1570062345,78,13.22,-59.52,82.4,14.99
Dikson,67,RU,1570062347,73,73.51,80.55,26.3,24.0
Umm Lajj,0,SA,1570062199,76,25.02,37.27,83.47,13.6
Tiruchchendur,40,IN,1570062352,94,8.48,78.12,78.8,3.67
Havre-Saint-Pierre,75,CA,1570062200,64,50.23,-63.6,39.2,3.36
Shache,0,CN,1570062356,34,38.42,77.24,59.5,5.48
Kushikino,75,JP,1570062360,88,31.72,130.27,77.0,8.05
Challapata,29,BO,1570062362,54,-18.9,-66.78,53.79,5.23
Palamos,40,ES,1570062365,88,41.85,3.13,66.99,3.36
Leningradskiy,100,RU,1570062367,84,69.38,178.42,30.37,14.83
Bethel,90,US,1570062369,87,60.79,-161.76,51.8,9.17
Dunmore East,98,IE,1570062373,76,52.15,-6.99,51.01,4.43
Piopio,0,CL,1570062375,86,-42.79,-73.57,39.2,1.12
Pirovskoye,100,RU,1570062377,86,57.63,92.27,38.94,9.95
Bluff,0,AU,1570062380,44,-23.58,149.07,73.77,14.88
Mithi,4,PK,1570062382,77,24.74,69.8,81.19,15.23
Gweta,0,BW,1570062384,73,-20.21,25.26,58.36,16.37
Butaritari,94,KI,1570062386,60,3.07,172.79,84.77,4.12
Faya,0,SA,1570062388,39,18.39,42.45,66.2,5.82
Komsomolskiy,77,RU,1570062391,85,67.55,63.78,38.0,15.14
Bafoussam,99,CM,1570062393,92,5.48,10.42,63.01,1.25
Knysna,100,ZA,1570062395,82,-34.04,23.05,60.8,8.05
Norman Wells,90,CA,1570062149,93,65.28,-126.83,46.4,2.24
Bow Island,5,CA,1570062399,70,49.87,-111.38,43.0,6.93
Monrovia,75,LR,1570062401,94,6.33,-10.8,77.0,8.66
Tuktoyaktuk,90,CA,1570062406,93,69.44,-133.03,37.4,12.75
Zaranj,0,AF,1570062408,28,30.95,61.86,73.4,26.4
Nikolskoye,90,RU,1570062410,81,59.7,30.79,42.8,4.47
Grand Gaube,75,MU,1570062412,94,-20.01,57.66,73.4,8.05
Kochevo,0,BG,1570062414,77,42.1,24.92,62.6,9.17
Sydney,0,AU,1570062257,27,-33.85,151.22,82.0,5.82
Constitucion,90,MX,1570062419,72,23.99,-104.67,66.0,16.11
Sabang,97,PH,1570062421,81,13.8,121.11,82.0,2.57
Hithadhoo,89,MV,1570062423,81,-0.6,73.08,81.78,18.88
Khatanga,0,RU,1570062425,83,71.98,102.47,19.5,8.03
Bonga,2,ET,1570062427,98,7.26,36.25,52.75,1.61
Rorvik,98,NO,1570062430,68,64.86,11.24,42.01,5.01
Bodden Town,40,KY,1570062432,89,19.28,-81.25,84.2,3.36
Evanston,90,US,1570062436,87,42.04,-87.69,61.0,4.7
Peniche,0,PT,1570062438,82,39.36,-9.38,60.8,10.29
San Alberto,90,PY,1570062440,94,-24.98,-54.91,77.0,4.7
Victoria,75,BN,1570062416,78,5.28,115.24,82.4,4.7
Port Lincoln,100,AU,1570062447,86,-34.72,135.86,56.81,11.23
Hervey Bay,40,AU,1570062355,43,-25.3,152.85,78.01,12.75
Port Hedland,0,AU,1570062451,25,-20.31,118.58,89.6,8.05
Poso,33,ID,1570062453,77,-1.4,120.75,69.38,2.8
Cape Canaveral,1,US,1570062164,83,28.41,-80.6,81.0,6.93
Dehloran,0,IR,1570062458,28,32.69,47.27,74.06,4.5
Nalut,0,LY,1570062460,24,31.86,10.98,74.71,11.97
Hamilton,90,CA,1570062300,93,43.26,-79.87,57.2,16.11
Yulara,2,AU,1570062464,9,-25.24,130.99,89.6,5.82
Calabozo,66,VE,1570062469,83,8.92,-67.43,77.64,4.59
Kanepi,100,EE,1570062471,87,57.98,26.76,46.4,3.36
Spassk-Ryazanskiy,78,RU,1570062473,79,54.41,40.38,51.01,3.0
Savonlinna,0,FI,1570062475,81,61.87,28.88,37.99,4.7
Katherine,0,AU,1570062477,25,-14.47,132.26,87.8,3.36
Altamira,48,BR,1570062480,84,-3.2,-52.21,75.55,2.91
San Patricio,100,PY,1570062482,96,-26.98,-56.83,68.08,8.03
Azul,0,AR,1570062464,58,-36.78,-59.86,48.0,3.0
Jacareacanga,56,BR,1570062486,63,-6.22,-57.76,80.47,2.26
Cairns,40,AU,1570062340,65,-16.92,145.77,78.8,20.8
Lavrentiya,65,RU,1570062491,76,65.58,-170.99,38.69,15.52
Ullapool,35,GB,1570062495,93,57.9,-5.16,39.0,1.01
Iqaluit,20,CA,1570062497,87,63.75,-68.52,32.0,6.93
Buga,75,CO,1570062499,69,3.9,-76.3,75.2,12.75
Ushtobe,0,KZ,1570062501,47,45.25,77.98,44.54,8.41
Kawalu,89,ID,1570062504,81,-7.38,108.21,71.66,3.51
Omboue,86,GA,1570062506,76,-1.57,9.26,77.03,9.78
Saint Pete Beach,90,US,1570062508,61,27.73,-82.74,86.0,11.41
Robertson,0,AU,1570062510,32,-34.59,150.59,80.6,8.05
Cochrane,96,CL,1570062512,93,-47.25,-72.57,30.57,3.29
Tabou,39,CI,1570062515,95,4.42,-7.36,74.04,3.6
Gambiran,44,ID,1570062517,76,-7.93,111.77,76.07,4.88
Rome,20,IT,1570062260,82,41.89,12.48,68.0,9.17
Uray,100,RU,1570062521,91,60.13,64.8,49.15,10.98
Kaitangata,85,NZ,1570062523,51,-46.28,169.85,51.01,11.01
Severo-Kurilsk,99,RU,1570062525,96,50.68,156.12,47.92,17.27
Ilulissat,82,GL,1570062528,34,69.22,-51.1,48.2,25.28
Urubicha,22,BO,1570062530,81,-15.63,-63.08,75.68,2.98
Kahului,40,US,1570062532,55,20.89,-156.47,87.8,20.8
Kualakapuas,56,ID,1570062534,82,-3.01,114.39,79.1,2.75
Makinsk,32,KZ,1570062536,54,52.63,70.42,37.0,6.78
Cidreira,100,BR,1570062539,91,-30.17,-50.22,65.17,11.59
Karratha,0,AU,1570062541,17,-20.74,116.85,89.88,9.51
Bilma,0,NE,1570062543,15,18.69,12.92,86.3,8.86
Abu Kamal,0,SY,1570062545,66,34.45,40.92,70.69,13.44
Toora-Khem,0,RU,1570062547,71,52.47,96.11,21.35,1.92
Kushiro,75,JP,1570062550,93,43.11,144.15,62.6,4.7
Chara,20,GR,1570062552,93,39.42,22.43,62.6,2.82
Kavaratti,37,IN,1570062554,72,10.57,72.64,82.16,6.51
Sudak,0,UA,1570062556,62,44.85,34.97,57.28,6.02
Ballina,100,IE,1570062561,81,54.11,-9.15,48.0,7.0
Bafia,100,CM,1570062563,98,4.74,11.22,67.56,1.88
Ugoofaaru,100,MV,1570062565,72,5.67,73.0,83.13,8.48
Hearst,65,CA,1570062567,86,49.69,-83.67,32.32,4.34
Virginia Beach,40,US,1570062308,66,36.85,-75.98,87.01,8.05
Westport,75,US,1570062571,73,41.14,-73.36,75.2,11.41
Vigrestad,20,NO,1570062574,81,58.57,5.7,51.01,1.12
Trimbak,0,IN,1570062576,95,19.93,73.53,67.9,0.96
Mitu,0,IR,1570062578,40,36.2,46.09,50.26,0.09
Pierre,90,US,1570062363,93,44.37,-100.35,43.0,5.82
Sale,0,AU,1570062586,56,-38.11,147.06,72.0,1.01
Vao,98,EE,1570062590,82,59.1,26.19,44.75,6.64
Rocha,100,UY,1570062592,86,-34.48,-54.34,50.51,14.03
Porto Walter,100,BR,1570062594,70,-8.27,-72.74,78.09,1.57
Geraldton,90,CA,1570062498,74,49.72,-86.95,33.8,4.7
Afua,100,NG,1570062598,98,5.27,7.87,72.37,3.29
Faanui,96,PF,1570062600,75,-16.48,-151.75,77.75,15.14
Macenta,100,GN,1570062603,99,8.55,-9.47,68.64,2.33
Tomatlan,93,MX,1570062605,76,19.93,-105.25,82.12,1.79
Tomari,35,RU,1570062607,85,47.76,142.06,54.94,20.0
Malinovskiy,93,RU,1570062610,84,54.15,34.53,51.63,8.93
Pombas,76,BR,1570062612,73,-15.9,-54.74,75.57,1.68
Kloulklubed,75,PW,1570062614,74,7.04,134.26,84.2,9.17
The Valley,20,AI,1570062616,70,18.22,-63.06,84.2,4.7
Talara,0,PE,1570062618,89,-4.58,-81.27,65.35,14.18
Talcahuano,0,CL,1570062565,76,-36.72,-73.12,50.0,10.29
Ponta do Sol,0,BR,1570062625,48,-20.63,-46.0,73.63,3.22
Aklavik,75,CA,1570062627,75,68.22,-135.01,42.8,6.93
Bethlehem,90,US,1570062612,94,40.62,-75.38,82.0,8.19
Ancud,0,CL,1570062631,70,-41.87,-73.83,39.2,5.82
Malanje,63,AO,1570062633,88,-9.54,16.35,67.04,3.22
Bima,1,ID,1570062636,66,-8.45,118.73,79.17,4.07
Poum,0,MK,1570062638,86,41.28,20.71,50.95,1.74
Naze,100,NG,1570062640,98,5.43,7.07,72.51,3.11
Lompoc,1,US,1570062389,59,34.64,-120.46,73.99,12.75
Pisco,0,PE,1570062647,77,-13.71,-76.2,64.4,9.17
Taoudenni,0,ML,1570062649,10,22.68,-3.98,89.86,4.07
Chernyshevskiy,100,RU,1570062651,95,63.01,112.47,29.49,11.25
Palmer,20,AU,1570062653,67,-34.85,139.16,64.99,4.7
Harrismith,15,ZA,1570062655,53,-28.27,29.13,43.66,3.24
Deputatskiy,100,RU,1570062657,86,69.3,139.9,21.03,25.17
Lagoa,0,PT,1570062660,77,37.14,-8.45,63.0,10.29
Tuatapere,100,NZ,1570062662,85,-46.13,167.69,48.0,7.0
Vardo,1,US,1570062664,45,39.62,-77.74,84.99,6.93
Nuevo Progreso,75,US,1570062666,70,26.05,-97.95,87.01,3.36
Yeppoon,51,AU,1570062668,53,-23.13,150.74,75.2,16.11
Tagbac,20,PH,1570062671,74,7.09,125.16,82.4,3.36
Aksu,0,KZ,1570062673,86,52.04,76.93,26.6,4.47
Murray Bridge,69,AU,1570062675,83,-35.12,139.28,64.99,1.99
